0.0000000000 0.5258069624
0.0125000000 0.9464525323
0.0250000000 0.9464525323
0.0375000000 0.7361297474
0.0500000000 0.5258069624
0.0625000000 0.3154841774
0.0750000000 0.3154841774
0.0875000000 0.1051613925
0.1000000000 0.1051613925
0.1125000000 0.1051613925
0.1250000000 -0.1051613925
0.1375000000 -0.5258069624
0.1500000000 -0.7361297474
0.1625000000 -1.1567753173
0.1750000000 -1.1567753173
0.1875000000 -0.9464525323
0.2000000000 -0.5258069624
0.2125000000 0.1051613925
0.2250000000 0.9464525323
0.2375000000 1.3670981023
0.2500000000 1.5774208872
0.2625000000 1.3670981023
0.2750000000 0.9464525323
0.2875000000 0.1051613925
0.3000000000 -0.5258069624
0.3125000000 -0.9464525323
0.3250000000 -1.1567753173
0.3375000000 -1.1567753173
0.3500000000 -0.7361297474
0.3625000000 -0.5258069624
0.3750000000 -0.1051613925
0.3875000000 0.1051613925
0.4000000000 0.1051613925
