0.0000000000 0.6000000000
0.0125000000 0.8680936290
0.0250000000 0.8925169778
0.0375000000 0.7384693359
0.0500000000 0.5145898034
0.0625000000 0.3238795325
0.0750000000 0.2216965846
0.0875000000 0.1972732357
0.1000000000 0.1854101966
0.1125000000 0.1027267643
0.1250000000 -0.1071067812
0.1375000000 -0.4384693359
0.1500000000 -0.8145898034
0.1625000000 -1.1092897291
0.1750000000 -1.1925169778
0.1875000000 -0.9826834324
0.2000000000 -0.4854101966
0.2125000000 0.1972732357
0.2250000000 0.8925169778
0.2375000000 1.4092897291
0.2500000000 1.6000000000
0.2625000000 1.4092897291
0.2750000000 0.8925169778
0.2875000000 0.1972732357
0.3000000000 -0.4854101966
0.3125000000 -0.9826834324
0.3250000000 -1.1925169778
0.3375000000 -1.1092897291
0.3500000000 -0.8145898034
0.3625000000 -0.4384693359
0.3750000000 -0.1071067812
0.3875000000 0.1027267643
0.4000000000 0.1854101966
